Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.033789,-0.0012929,0.15609,0,0,0,7.1671,0.16436,7.9561E-05,-0.002159,0.11744,-0.00039186,0.060583,0,0,0,0,0,0,package://af3aurdf20260309/meshes/base_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/base_link.STL,,AF3A-20000 机身-1/AF3A-20203 机身前盖-3;AF3A-20000 机身-1/AF3A-20201 机身主体-2;AF3A-20000 机身-1/AF3A-20202 机身后盖-1;AF3A-20000 机身-1/AF3A-20513 电池防水盖-1;AF3A-20000 机身-1/AF3A-20204 支撑臂电机座-1;AF3A-20000 机身-1/AF3A-40208 限位块-1;AF3A-20000 机身-1/AF3A-40208 限位块-2,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
imu_link,-0.002468,-4.2816E-10,0.0056684,0,0,0,0.02361,5.4191E-06,8.809E-15,1.814E-09,4.3874E-06,-4.1617E-14,9.3231E-06,0,0,0,0,0,0,package://af3aurdf20260309/meshes/imu_link.STL,0.74118,0.90196,0.95686,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/imu_link.STL,,AF3A-20000 机身-1/国产惯导模块N100-2,imu_coordinate,,imu_joint,fixed,0,0,0.016,0,0,0,base_link,0,0,0,,,,,,,,,,,,
head_link,-0.0013254,3.5825E-06,0.13196,0,0,0,0.7065,0.0016412,-5.2918E-07,-0.00037617,0.0013868,9.511E-08,0.0022167,0,0,0,0,0,0,package://af3aurdf20260309/meshes/head_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/head_link.STL,,AF3A-10000 头部-1/AF3A-10503 头部顶盖-1;AF3A-10000 头部-1/AF3A-10506 面罩-1;AF3A-10000 头部-1/AF3A-10504 头部灯箱-1;AF3A-10000 头部-1/AF3A-10206 头部底盖-2;AF3A-10000 头部-1/AF3A-10204 头部左支撑柱-1;AF3A-10000 头部-1/AF3A-10203 雷达外罩-1;AF3A-10000 头部-1/AF3A-10205 头部右支撑柱-1,head_coordinate,head_axis,head_joint,revolute,-0.027,0,0.4315,0,0,0,base_link,0,0,1,0,0,-1.0472,1.0472,,,,,,,,
hip_link,0.018359,0.066192,-0.14388,0,0,0,3.3036,0.066382,-4.3542E-06,0.0033565,0.056236,-0.00044376,0.023055,0,0,0,0,0,0,package://af3aurdf20260309/meshes/hip_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/hip_link.STL,,AF3A-40000 大腿-1/AF3A-40201 大腿-1;AF3A-40000 大腿-1/AF3A-40502 左大腿装饰-1/AF3A-40502_1 大腿左侧装饰盖-1;AF3A-40000 大腿-1/AF3A-40501 右大腿装饰盖-1/AF3A-40501_1 大腿右侧装饰盖-1;AF3A-40000 大腿-1/AF3A-40502 左大腿装饰-1/AF3A-40502_2 大腿装饰盖配件-1;AF3A-40000 大腿-1/AF3A-40501 右大腿装饰盖-1/AF3A-40501_2 大腿装饰盖配件右-1,hip_coordinate,hip_axis,hip_joint,revolute,-0.070346,-0.06575,-0.1227,0,0,0,base_link,0,1,0,745,4.4506,-1.0472,2.7576,,,,,,,,
knee_link,-0.0022274,0.063132,-0.22829,0,0,0,6.2121,0.21112,2.7406E-05,-0.00085462,0.11025,0.00074245,0.10674,0,0,0,0,0,0,package://af3aurdf20260309/meshes/knee_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/knee_link.STL,,AF3A-50000 底盘-1/AF3A-50201 底座前壳-2;AF3A-50000 底盘-1/AF3A-50202 底座后壳-2;AF3A-50000 底盘-1/AF3A-40208 限位块-1;AF3A-50000 底盘-1/AF3A-40208 限位块-2;AF3A-50000 底盘-1/AF3A-50203 底座支撑件-1;AF3A-50000 底盘-1/CKM01-D50-PA-1,knee_coordinate,knee_axis,knee_joint,revolute,0,0.003,-0.36,0,0,0,hip_link,0,1,0,745,4.4506,-2.3213,0.94248,,,,,,,,
right_wheel_link,-2.9795E-10,-0.046425,-1.4315E-11,0,0,0,1.9179,0.021016,1.769E-11,6.4118E-10,0.041444,-4.6825E-12,0.021016,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_wheel_link.STL,,轮部组件-3/14寸实心轮子-1,right_wheel_coordinate,right_wheel_axis,right_wheel_joint,continuous,0,-0.17085,-0.36,0,0,0,knee_link,0,1,0,192,17.017,-1000000,1000000,,,,,,,,
left_wheel_link,6.0652E-10,0.046425,5.0537E-09,0,0,0,1.9179,0.021016,1.1122E-11,-1.0931E-09,0.041444,1.1345E-10,0.021016,0,0,0,0,0,0,package://af3aurdf20260309/meshes/left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/left_wheel_link.STL,,轮部组件-2/14寸实心轮子-1,left_wheel_coordinate,left_wheel_axis,left_wheel_joint,continuous,0,0.29635,-0.36,0,0,0,knee_link,0,1,0,192,17.017,-1000000,1000000,,,,,,,,
right_shoulder_pitch_link,-0.0001173,-0.053974,-2.8148E-05,0,0,0,0.29614,0.00048712,-1.2012E-05,3.1864E-08,0.00031961,9.9342E-08,0.00037623,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_pitch_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_pitch_link.STL,,R7E-20002 2轴总成-4/R7E-20201 J2支撑-1;R7E-20002 2轴总成-4/R7E-20202  二四轴压线盖-1;R7E-20002 2轴总成-4/R7E-20203 盖子-1,right_shoulder_pitch_coordinate,right_shoulder_pitch_axis,right_shoulder_pitch_joint,revolute,-0.027375,-0.157,0.32073,0,0,0,base_link,0,1,0,0,0,-4.4506,1.309,,,,,,,,
right_shoulder_roll_link,-0.036745,-6.6909E-07,-0.058967,0,0,0,0.40169,0.00059404,1.0823E-07,9.9071E-05,0.0006611,5.126E-08,0.00052323,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_roll_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_roll_link.STL,,R7E-30002 左3轴总成-3/R7E-30201 j3固定件-1;R7E-30002 左3轴总成-3/R7E-30203 J2端盖-1;R7E-30002 左3轴总成-3/R7E-30202 辅助支撑-1;R7E-30002 左3轴总成-3/R7E-30204 转接法兰-1,right_shoulder_roll_coordinate,right_shoulder_roll_axis,right_shoulder_roll_joint,revolute,0.0405,-0.062,0,0,0,0,right_shoulder_pitch_link,1,0,0,0,0,-3.5256,0.38397,,,,,,,,
right_shoulder_yaw_link,-0.00077276,0.00070768,-0.088165,0,0,0,0.39018,0.00095762,-5.898E-07,-7.6282E-06,0.0010517,3.5719E-05,0.00042863,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_yaw_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://af3aurdf20260309/meshes/right_shoulder_yaw_link.STL,,R7E-41000 4轴总成右-1/R7E-41201 右J4支撑件-1;R7E-41000 4轴总成右-1/R7E-40203 挡板-1;R7E-41000 4轴总成右-1/R7E-20202  二四轴压线盖-1;R7E-41000 4轴总成右-1/R7E-20203 盖子-1;R7E-41000 4轴总成右-1/R7E-40203 挡板-2,right_shoulder_yaw_coordinate,right_shoulder_yaw_axis,right_shoulder_yaw_joint,revolute,-0.0405,0,-0.1265,0,0,0,right_shoulder_roll_link,0,0,1,0,0,-1.309,4.4506,,,,,,,,
